"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"218","11.793000","::20c:c:c:c","::202:2:2:2","ICMPv6","34","58","RPL Control (Destination Advertisement Object)"
"219","11.796656","","","IEEE 802.15.4","34","","Ack"
"220","11.839000","::202:2:2:2","::20c:c:c:c","ICMPv6","64","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"221","11.841312","","","IEEE 802.15.4","64","","Ack"
"222","11.896000","fe80::217:17:17:17","ff02::1a","ICMPv6","128","76","RPL Control (DODAG Information Object)"
"223","11.984000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","74","76","RPL Control (DODAG Information Object)"
"224","11.988200","","","IEEE 802.15.4","74","","Ack"
"225","12.051000","::214:14:14:14","::202:2:2:2","UDP","118","23","8765  >  5678 Len=7"
"226","12.053472","","","IEEE 802.15.4","118","","Ack"
"227","12.058000","::20d:d:d:d","::202:2:2:2","ICMPv6","34","58","RPL Control (Destination Advertisement Object)"
"228","12.061656","","","IEEE 802.15.4","34","","Ack"
"229","12.082000","::202:2:2:2","::214:14:14:14","UDP","65","23","5678  >  8765 Len=7"
"230","12.084472","","","IEEE 802.15.4","65","","Ack"
"231","12.101000","::202:2:2:2","::20d:d:d:d","ICMPv6","66","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"232","12.103312","","","IEEE 802.15.4","66","","Ack"
"233","12.110000","::205:5:5:5","::201:1:1:1","ICMPv6","121","58","RPL Control (Destination Advertisement Object)"
"234","12.113656","","","IEEE 802.15.4","121","","Ack"
"235","12.147000","::201:1:1:1","::205:5:5:5","ICMPv6","17","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"236","12.149312","","","IEEE 802.15.4","17","","Ack"
"237","12.178000","fe80::20f:f:f:f","ff02::1a","ICMPv6","255","76","RPL Control (DODAG Information Object)"
"238","12.253000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","68","76","RPL Control (DODAG Information Object)"
"239","12.257200","","","IEEE 802.15.4","68","","Ack"
"240","12.278000","::213:13:13:13","::201:1:1:1","UDP","228","23","8765  >  5678 Len=7"
"241","12.280472","","","IEEE 802.15.4","228","","Ack"
"242","12.308000","fe80::209:9:9:9","fe80::201:1:1:1","ICMPv6","137","76","RPL Control (DODAG Information Object)"
"243","12.312200","","","IEEE 802.15.4","137","","Ack"
"244","12.350000","::201:1:1:1","::213:13:13:13","UDP","18","23","5678  >  8765 Len=7"
"245","12.352472","","","IEEE 802.15.4","18","","Ack"
"246","12.462000","fe80::20e:e:e:e","ff02::1a","ICMPv6","18","76","RPL Control (DODAG Information Object)"
"247","12.572000","::205:5:5:5","::201:1:1:1","UDP","122","23","8765  >  5678 Len=7"
"248","12.574472","","","IEEE 802.15.4","122","","Ack"
"249","12.601000","::201:1:1:1","::205:5:5:5","UDP","19","23","5678  >  8765 Len=7"
"250","12.603472","","","IEEE 802.15.4","19","","Ack"
"251","12.946000","fe80::210:10:10:10","ff02::1a","ICMPv6","119","76","RPL Control (DODAG Information Object)"
"252","13.148000","fe80::20a:a:a:a","fe80::202:2:2:2","ICMPv6","239","76","RPL Control (DODAG Information Object)"
