"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"103","17.707000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","66","76","RPL Control (DODAG Information Object)"
"104","17.711200","","","IEEE 802.15.4","66","","Ack"
"105","17.715000","::201:1:1:1","::20a:a:a:a","ICMPv6","19","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"106","17.717312","","","IEEE 802.15.4","19","","Ack"
"107","17.830000","::208:8:8:8","::201:1:1:1","ICMPv6","232","58","RPL Control (Destination Advertisement Object)"
"108","17.833656","","","IEEE 802.15.4","232","","Ack"
"109","17.850000","::201:1:1:1","::208:8:8:8","ICMPv6","20","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"110","17.852312","","","IEEE 802.15.4","20","","Ack"
"111","18.036000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","67","76","RPL Control (DODAG Information Object)"
"112","18.040200","","","IEEE 802.15.4","67","","Ack"
"113","18.244000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","180","76","RPL Control (DODAG Information Object)"
"114","18.248200","","","IEEE 802.15.4","180","","Ack"
"115","19.067000","::20c:c:c:c","::201:1:1:1","UDP","37","23","8765  >  5678 Len=7"
"116","19.066000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","68","76","RPL Control (DODAG Information Object)"
"117","19.084000","::20c:c:c:c","::201:1:1:1","UDP","37","23","8765  >  5678 Len=7"
"118","19.086472","","","IEEE 802.15.4","37","","Ack"
"119","19.100000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","68","76","RPL Control (DODAG Information Object)"
"120","19.103200","::201:1:1:1","::20c:c:c:c","UDP","21","23","5678  >  8765 Len=7"
"121","19.105672","","","IEEE 802.15.4","21","","Ack"
"122","19.118000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","68","76","RPL Control (DODAG Information Object)"
"123","19.122200","","","IEEE 802.15.4","68","","Ack"
"124","19.243000","fe80::20b:b:b:b","fe80::202:2:2:2","ICMPv6","109","76","RPL Control (DODAG Information Object)"
"125","19.247200","","","IEEE 802.15.4","109","","Ack"
"126","19.433000","fe80::20c:c:c:c","ff02::1a","ICMPv6","38","76","RPL Control (DODAG Information Object)"
"127","19.698000","fe80::20b:b:b:b","fe80::202:2:2:2","ICMPv6","110","76","RPL Control (DODAG Information Object)"
"128","19.702200","","","IEEE 802.15.4","110","","Ack"
"129","19.950000","fe80::20a:a:a:a","ff02::1a","ICMPv6","241","76","RPL Control (DODAG Information Object)"
"130","20.568000","fe80::205:5:5:5","fe80::202:2:2:2","ICMPv6","119","76","RPL Control (DODAG Information Object)"
"131","20.572200","","","IEEE 802.15.4","119","","Ack"
"132","20.603000","fe80::20b:b:b:b","fe80::202:2:2:2","ICMPv6","111","76","RPL Control (DODAG Information Object)"
"133","20.607200","","","IEEE 802.15.4","111","","Ack"
"134","20.644000","fe80::208:8:8:8","ff02::1a","ICMPv6","233","76","RPL Control (DODAG Information Object)"
"135","20.664000","fe80::209:9:9:9","ff02::1a","ICMPv6","141","76","RPL Control (DODAG Information Object)"
"136","20.927000","::206:6:6:6","::201:1:1:1","ICMPv6","181","58","RPL Control (Destination Advertisement Object)"
"137","20.930912","","","IEEE 802.15.4","181","","Ack"
"138","20.950000","::206:6:6:6","::201:1:1:1","ICMPv6","62","58","RPL Control (Destination Advertisement Object)"
"139","20.953944","","","IEEE 802.15.4","62","","Ack"
"140","20.964000","::201:1:1:1","::206:6:6:6","ICMPv6","22","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"141","20.966568","","","IEEE 802.15.4","22","","Ack"
"142","20.970000","::201:1:1:1","::206:6:6:6","ICMPv6","63","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"143","20.972856","","","IEEE 802.15.4","63","","Ack"
"144","21.716000","fe80::202:2:2:2","ff02::1a","ICMPv6","64","76","RPL Control (DODAG Information Object)"
"145","22.724000","fe80::201:1:1:1","ff02::1a","ICMPv6","23","76","RPL Control (DODAG Information Object)"
"146","23.261000","fe80::205:5:5:5","fe80::202:2:2:2","ICMPv6","120","76","RPL Control (DODAG Information Object)"
"147","23.265200","","","IEEE 802.15.4","120","","Ack"
"148","23.271000","::204:4:4:4","::201:1:1:1","ICMPv6","69","58","RPL Control (Destination Advertisement Object)"
"149","23.274912","","","IEEE 802.15.4","69","","Ack"
"150","23.312000","::204:4:4:4","::201:1:1:1","ICMPv6","65","58","RPL Control (Destination Advertisement Object)"
"151","23.315944","","","IEEE 802.15.4","65","","Ack"
"152","23.321000","::201:1:1:1","::204:4:4:4","ICMPv6","24","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"153","23.323568","","","IEEE 802.15.4","24","","Ack"
"154","23.345000","::201:1:1:1","::204:4:4:4","ICMPv6","66","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"155","23.347856","","","IEEE 802.15.4","66","","Ack"
"156","23.812000","fe80::203:3:3:3","ff02::1a","ICMPv6","78","76","RPL Control (DODAG Information Object)"
"157","24.124000","fe80::207:7:7:7","fe80::208:8:8:8","ICMPv6","35","76","RPL Control (DODAG Information Object)"
